,id,breed,label
6887,ad019e394b55406f412b9a03899d5705,welsh_springer_spaniel,115
7975,c77266278126119fe02a3550dd0c3c1c,norfolk_terrier,79
10220,ffe5f6d8e2bff356e9482a80a6e29aac,miniature_pinscher,75
4695,75dbdbf6814e6c72a7cab75c73a5acd7,leonberg,69
940,16fdb4a145a7f5695a264ba980e23bc3,norwich_terrier,81
8178,cc964d3bf1e317c9fbb0c0d4c8bc6b8f,groenendael,54
2335,3a1eeae505c9fedcfd97d3eaa94c3c66,groenendael,54
4587,728b6f85d37f74e5f5c4a477103da84f,malamute,71
538,0d37ea8a209eb60e9c03eaedf3fd5384,kerry_blue_terrier,64
3621,59f13ba2b497debf4e6d2fbc9d1d2d5f,brabancon_griffon,22
4539,715874f75d996fdadb957a6b4b7e209d,whippet,117
1400,2292aac9af3c3646720d9401612390c2,rhodesian_ridgeback,90
7432,ba1d2dc55bc4d91d554ba2258684c7f0,black-and-tan_coonhound,12
2270,3899b1e797951db6dd2a9050eeb6668b,chesapeake_bay_retriever,28
9075,e41d436e4f76b4c13a92abde03ae2721,irish_water_spaniel,58
5517,8b332e46e140af54feecbdff46cad87b,old_english_sheepdog,82
2069,33bed0b3d39633e869ce50873d22ed3a,rhodesian_ridgeback,90
5157,82774b211b700b0b0d7616b75520f511,chihuahua,29
4216,6911390f33e6506b7a2706f39cf5fd00,australian_terrier,6
3761,5d6afe64afb28dc45120bdf49fa51d0f,borzoi,18
6227,9d171901854b046234bde698045b1044,welsh_springer_spaniel,115
6955,ae7e1799c6476eadab886c2e3caddf62,saint_bernard,92
7391,b901180f89399824b9bd0dc8a2eb3a30,ibizan_hound,55
6536,a49151672825eab94674d8dff6639f72,newfoundland,78
4903,7b0ca504f40cfdb1480fa6b5cd8f84bd,borzoi,18
1739,2b0beabe94af30c51d3d3149c4832c38,bloodhound,14
7744,c1f814e2be9f657c2713d56bd8be59b0,irish_wolfhound,59
6134,9aad83b24fe76204e25cd5f7341586fe,wire-haired_fox_terrier,118
3400,549144e54ff57b7387c91e893d7d35b4,pembroke,86
3625,5a142a7e217009f8d57b8dc5c611c228,bloodhound,14
5873,942d5a6f10384d47e38cab1b52bdcd75,welsh_springer_spaniel,115
9753,f5940c13d959f10561fda7afad8510c2,leonberg,69
5503,8ae123d42a7fa0a086271728dc7e9226,japanese_spaniel,61
1563,269fffc6762062ee4ce466204bac4d9b,chow,30
9031,e2e10aeca2bcd6e9d9d91cd64efc13a8,yorkshire_terrier,119
3703,5c4e40f3302df35ba2ca23d0d7e195c4,bouvier_des_flandres,20
8324,d060e6fe84298ef6a37e3a0b9775c0c9,walker_hound,113
4022,64177936eae266acaa2974bcd9bb654d,rottweiler,91
2447,3d048af542545494b12fd46c06bc5a52,italian_greyhound,60
8016,c87f27b3b22233dbd9529604630a7767,pekinese,85
9147,e5d36dcf26d2f478531b1702508b13aa,kuvasz,66
9481,eda5e03fc28a7fd651cd1a7b864ae749,staffordshire_bullterrier,104
7324,b77df5bcb04c0bf4381a2ace3adbf2b0,norfolk_terrier,79
3995,633c2b66550cb435414b8f5a2837b0f5,black-and-tan_coonhound,12
9808,f6d0770d25962d54d0cfedbfe14949a0,chesapeake_bay_retriever,28
3909,6117cc88d5b80730c90d6101977d3566,bedlington_terrier,10
8894,def4b391140f0633501190070ffd81e5,cardigan,27
8872,de5e511f50c8e04008da3de616f254fc,affenpinscher,0
6925,addf2f5e7426173ffb795fa485edae63,toy_poodle,110
9421,ec3ea54e26c17014faf12c362f9463d5,saluki,93
833,146c249bf2d60bf30c309341020bf2ee,basset,8
6800,aac6e8cf0ca09868f9906aa70854dce3,sealyham_terrier,98
8142,cb981a6f87f8d8dd645c41710297fdbd,samoyed,94
10078,fc77bf555c892344771a2c6714e72659,rottweiler,91
5270,84b62d2def32fc85092cabe2c722c135,appenzeller,5
5272,84be9b9f59aa586f1b188781b2c47a3e,otterhound,83
7675,c03241c397a1159f6fb358ef9d1874bb,pug,88
4698,75f21d23f43b194674f2016f1ce6b153,groenendael,54
5022,7efa3e0f614bb18b9ec8c18d5de0d5a9,miniature_pinscher,75
2664,41ef9f24fe52597681730159ad645063,chesapeake_bay_retriever,28
6418,a1d9956e2e50c9f909342d26e1d32016,great_dane,51
